Wall time,Step,Value
1727449020.9729404,18,0.10000000149011612
1727449021.7756312,24,0.20000000298023224
1727449023.8995407,40,0.10000000149011612
1727449024.1973948,42,0.20000000298023224
1727449024.6028388,45,0.30000001192092896
1727449026.1690662,56,0.30000001192092896
1727449028.32362,71,0.20000000298023224
1727449028.7380598,74,0.10000000149011612
1727449031.6345513,94,0.5
1727449033.3928418,106,0.30000001192092896
1727449036.3394084,126,0.20000000298023224
1727449040.5646954,155,0.4000000059604645
1727449041.006104,158,0.6000000238418579
1727449042.4049792,167,0.5
1727449044.7789063,183,0.4000000059604645
1727449045.07427,185,0.5
1727449051.7988765,229,0.800000011920929
1727449052.5442927,234,0.800000011920929
1727449054.6944385,249,0.699999988079071
1727449055.6126668,255,0.9000000357627869
1727449056.358781,260,0.9000000357627869
1727449057.370761,267,1.0
1727449058.2889655,273,1.0
1727449063.4861794,308,0.9000000357627869
1727449063.766581,310,1.0
1727449064.972685,318,1.0
1727449068.1195512,339,0.9000000357627869
1727449069.38816,347,1.0
1727449072.4614532,367,1.0
1727449081.0373826,421,1.0
1727449081.207428,422,1.0
1727449083.770715,439,1.0
1727449084.23974,442,1.0
1727449084.7404604,445,1.0
1727449087.0146186,460,1.0
1727449087.4911973,463,1.0
1727449087.650805,464,1.0
1727449089.253524,474,1.0
1727449092.2211082,493,1.0
1727449095.4738145,514,1.0
1727449098.0648978,531,1.0
1727449098.7995887,536,1.0
1727449102.8953004,563,0.699999988079071
1727449104.3716633,573,0.699999988079071
1727449105.28556,579,0.9000000357627869
1727449106.3944979,586,1.0
1727449106.549412,587,1.0
1727449111.7294788,620,1.0
1727449112.0302312,622,1.0
1727449114.0208335,634,1.0
1727449115.1303406,641,1.0
1727449115.2848141,642,1.0
1727449115.6438315,644,1.0
1727449116.1048877,647,1.0
1727449116.403662,649,1.0
1727449118.1890702,661,1.0
1727449119.7373226,671,1.0
1727449126.5058408,714,1.0
1727449127.7391865,722,1.0
1727449129.0275702,730,1.0
1727449130.3862581,739,1.0
1727449132.4483514,752,1.0
1727449133.0682893,756,1.0
1727449134.4414434,765,1.0
1727449135.0424106,769,1.0
1727449135.341554,771,1.0
1727449135.6599536,773,1.0
1727449136.7536085,780,1.0
1727449137.5470452,785,1.0
1727449137.8891423,787,1.0
1727449138.6569066,792,1.0
1727449138.9378734,794,1.0
1727449139.5608463,798,1.0
1727449140.2186964,802,1.0
1727449141.230467,808,1.0
1727449141.3879347,809,1.0
1727449144.9322135,832,1.0
1727449145.6096296,836,1.0
1727449150.886114,869,1.0
1727449151.9752128,876,1.0
1727449152.9321716,882,1.0
1727449155.102244,896,1.0
1727449155.7282128,900,1.0
1727449156.883323,907,1.0
1727449157.185371,909,1.0
1727449158.518523,917,1.0
1727449160.559247,931,1.0
1727449160.7056742,932,1.0
1727449162.2073941,942,1.0
1727449162.8201742,945,1.0
1727449165.2243557,954,1.0
1727449167.3975306,962,1.0
1727449169.8463001,971,1.0
1727449170.1279538,972,1.0
1727449171.6977663,978,1.0
1727449171.9588778,979,1.0
1727449173.227624,984,1.0
1727449177.9882586,1002,1.0
1727449178.7731698,1005,1.0
1727449181.2181804,1014,1.0
1727449189.198387,1044,1.0
1727449192.6185005,1057,1.0
1727449194.089702,1063,1.0
1727449194.8386295,1066,1.0
1727449195.378461,1068,1.0
1727449196.4138074,1072,1.0
1727449197.8986442,1078,1.0
1727449199.158901,1083,1.0
1727449201.7985857,1093,1.0
1727449203.3889904,1099,1.0
1727449204.609708,1104,1.0
1727449207.269049,1114,0.30000001192092896
1727449218.5296435,1156,1.0
1727449219.5897958,1160,1.0
1727449219.9297593,1161,1.0
1727449220.2296612,1162,1.0
1727449225.1294346,1180,1.0
1727449228.604712,1193,1.0
1727449231.9505832,1206,1.0
1727449238.925102,1232,1.0
1727449242.3045213,1244,1.0
1727449245.4929638,1255,1.0
1727449246.3729813,1258,1.0
1727449247.196147,1261,1.0
1727449253.0726242,1281,1.0
1727449254.847733,1287,1.0
1727449256.8947537,1294,1.0
1727449258.639508,1300,1.0
1727449263.0213015,1316,1.0
1727449263.7712681,1319,1.0
1727449266.6113248,1330,1.0
1727449267.3809662,1333,1.0
1727449268.160971,1336,1.0
1727449268.4332068,1337,1.0
1727449281.5617473,1385,1.0
1727449282.3517647,1388,1.0
1727449283.1819623,1391,1.0
1727449283.4820347,1392,1.0
1727449289.194391,1414,1.0
1727449292.343505,1426,1.0
1727449295.0123806,1436,1.0
1727449296.081952,1440,1.0
1727449302.6962,1465,1.0
1727449302.9524372,1466,1.0
1727449305.8724713,1477,1.0
1727449307.9829578,1485,1.0
1727449309.0336983,1489,1.0
1727449309.5727105,1491,1.0
1727449318.0432134,1523,1.0
1727449319.1030684,1527,1.0
1727449325.7634165,1552,1.0
1727449329.9835021,1568,1.0
1727449330.2535708,1569,1.0
1727449333.9735334,1584,1.0
1727449335.0268204,1588,1.0
1727449339.8136325,1604,1.0
1727449340.0839193,1605,1.0
1727449346.6995943,1627,1.0
1727449348.143974,1632,1.0
1727449349.4252834,1637,1.0
1727449350.204459,1640,1.0
1727449351.6045165,1645,1.0
1727449352.4343257,1648,0.5
1727449355.7177997,1660,0.4000000059604645
1727449357.81441,1668,0.9000000357627869
