Wall time,Step,Value
1727449020.9729404,18,14.755534172058105
1727449021.7756312,24,21.423919677734375
1727449023.8995407,40,7.888709545135498
1727449024.1973948,42,11.321866035461426
1727449024.6028388,45,6.048884391784668
1727449026.1690662,56,5.842803478240967
1727449028.3225968,71,6.388288497924805
1727449028.737059,74,4.320062160491943
1727449031.6345513,94,2.870797634124756
1727449033.3918107,106,3.177330732345581
1727449036.3394084,126,4.538552761077881
1727449040.5646954,155,4.981017112731934
1727449041.006104,158,3.131375312805176
1727449042.4049792,167,1.2516626119613647
1727449044.7789063,183,1.0002250671386719
1727449045.0732512,185,1.38304603099823
1727449051.7988765,229,0.4967711567878723
1727449052.5442927,234,0.3731440007686615
1727449054.6944385,249,1.4939528703689575
1727449055.6116667,255,0.750088095664978
1727449056.358781,260,0.2687053680419922
1727449057.370761,267,0.22724546492099762
1727449058.2879655,273,0.21020686626434326
1727449063.4861794,308,0.24010908603668213
1727449063.7656045,310,0.07471725344657898
1727449064.972685,318,0.08526723086833954
1727449068.1195512,339,1.1956247091293335
1727449069.387151,347,0.03093806840479374
1727449072.4614532,367,0.0981670618057251
1727449081.0373826,421,0.0021345852874219418
1727449081.207428,422,0.0020180686842650175
1727449083.770715,439,0.0012713336618617177
1727449084.23974,442,0.0011569868074730039
1727449084.7404604,445,0.0010863663628697395
1727449087.0146186,460,0.0007862980128265917
1727449087.4911973,463,0.0007602269179187715
1727449087.6498032,464,0.0007422015769407153
1727449089.253524,474,0.0006398711702786386
1727449092.2211082,493,0.00040696110227145255
1727449095.4728138,514,0.0003025223268195987
1727449098.0648978,531,0.00023241006419993937
1727449098.7995887,536,0.00022049322433304042
1727449102.8953004,563,0.5247806310653687
1727449104.3716633,573,4.896147727966309
1727449105.28556,579,0.4361831843852997
1727449106.393498,586,0.1550689935684204
1727449106.549412,587,0.1435929387807846
1727449111.7284787,620,0.0005245700012892485
1727449112.0302312,622,0.0005152442026883364
1727449114.0208335,634,0.0004325294285081327
1727449115.1303406,641,0.0003884279285557568
1727449115.2848141,642,0.0003834148228634149
1727449115.6438315,644,0.00037619879003614187
1727449116.1048877,647,0.0003627231635618955
1727449116.403662,649,0.0003519109159242362
1727449118.1890702,661,0.0003028423816431314
1727449119.7358677,671,0.00026883732061833143
1727449126.5058408,714,0.00017332984134554863
1727449127.7391865,722,0.00016020875773392618
1727449129.0275702,730,0.00015568119124509394
1727449130.3862581,739,0.00013867614325135946
1727449132.4483514,752,0.00012456618424039334
1727449133.0682893,756,0.00012298156798351556
1727449134.4414434,765,0.00011590122448978946
1727449135.0424106,769,0.00010950236901408061
1727449135.3405547,771,0.00010993097384925932
