"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,-0.118868649763359,-0.716262092767848,0.835130742531207
0.4,-0.197842665257451,-1.43064637264383,1.62848903790128
0.6,-0.221169666490233,-2.14325136804841,2.36442103453864
0.8,-0.130127286362924,-2.91710901199191,3.04723629835484
1,0.0178331116181549,-3.74091037728566,3.72307726566751
1.2,0.191072689261371,-4.62933823615761,4.43826554689624
1.4,0.450480087779527,-5.4606570542605,5.01017696648097
1.6,0.790798147793239,-6.2620281887153,5.47123004092206
1.8,1.26074906705114,-7.15684487877763,5.89609581172649
2,1.69756620822992,-8.05786191391761,6.36029570568769
2.2,2.14748971260052,-8.96008230549569,6.81259259289517
2.4,2.75829137888519,-9.86958122709545,7.11128984821026
2.6,3.48988970686502,-10.8480409187154,7.35815121185039
2.8,4.31438943516414,-11.8270171718505,7.51262773668637
3,5.03996395826252,-12.7113286520258,7.67136469376332
3.2,5.72422070093692,-13.5736921792118,7.84947147827483
3.4,6.50344934457105,-14.4069289762078,7.90347963163672
3.6,7.28088473253952,-15.1539966431321,7.87311191059257
3.8,8.08562834747181,-15.806137330292,7.72050898282017
4,8.81694574864265,-16.3782717199131,7.5613259712704
4.2,9.64525466921117,-17.0919743238995,7.44671965468837
4.4,10.654631954307,-17.8028196373761,7.14818768306913
4.6,11.5963692433812,-18.3176423103533,6.72127306697207
4.8,12.4902772108602,-18.720553200101,6.23027598924081
5,13.3675877575522,-19.0339875133619,5.66639975580975
5.2,14.1959490529919,-19.3479016119363,5.15195255894443
5.4,15.0524412285658,-19.7459913376298,4.69355010906398
5.6,15.857378597934,-19.9631603543407,4.10578175640675
5.8,16.5453180176121,-19.9798670154875,3.43454899787547
6,17.1959003708443,-19.9336009664239,2.73770059557963
6.2,17.9126531640639,-19.8209928776676,1.90833971360373
6.4,18.699307944831,-19.7003459005313,1.00103795570033
6.6,19.4899746588978,-19.5799180170198,0.0899433581219959
6.8,20.210384594039,-19.3197935430769,-0.890591050962083
7,20.8030569301691,-18.8988832586641,-1.90417367150493
7.2,21.3111252029317,-18.4332416621496,-2.87788354078208
7.4,21.852622035317,-18.0282543642931,-3.82436767102396
