"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0725147254928197,-0.98191678718326,0.909402061690441
0.4,0.18922888982355,-1.93881509692591,1.74958620710236
0.6,0.360668332523325,-2.84370698477237,2.48303865224905
0.8,0.656261958430363,-3.80083175689288,3.14456979846251
1,0.984614366379976,-4.77480852846186,3.79019416208189
1.2,1.27365064123784,-5.71742521964771,4.44377457840987
1.4,1.62426592648691,-6.53648307057155,4.91221714408463
1.6,2.11159715376595,-7.43536226801067,5.32376511424471
1.8,2.71602925475751,-8.410321932074,5.69429267731649
2,3.16309262419487,-9.28204547638278,6.11895285218792
2.2,3.70403259270404,-10.2249621521437,6.52092955943967
2.4,4.35874517236194,-11.0684999801679,6.70975480780598
2.6,5.08990619928624,-11.9360753788137,6.84616917952747
2.8,5.77874535759151,-12.7136288240634,6.93488346647189
3,6.35005545779074,-13.5211419942407,7.17108653644992
3.2,7.16954706611195,-14.3670519840968,7.19750491798482
3.4,8.00429560733155,-15.1530789470413,7.14878333970972
3.6,8.78000459888239,-15.7373599551876,6.95735535630525
3.8,9.45785252960935,-16.3023778135316,6.84452528392228
4,10.3788063324706,-17.1523261972772,6.7735198648066
4.2,11.3794843861861,-17.9259441874081,6.54645980122203
4.4,12.0781500683862,-18.2881826002288,6.21003253184267
4.6,12.7758169147143,-18.4793597304399,5.70354281572562
4.8,13.6544864641585,-19.0578830793471,5.40339661518866
5,14.7637888635205,-19.8146644970051,5.05087563348453
5.2,15.4880426321429,-20.0700120340529,4.58196940190995
5.4,15.9917625991079,-19.9331574353543,3.94139483624635
5.6,16.7584012759273,-20.0680829322692,3.30968165634192
5.8,17.8350987218317,-20.6459053114544,2.8108065896227
6,18.6356659279837,-20.8433526321847,2.20768670420095
6.2,18.9613399996721,-20.493835394444,1.53249539477195
6.4,19.507357848861,-20.2162813062638,0.708923457402715
6.6,20.5129328385144,-20.4609371945285,-0.0519956439858653
6.8,21.3218304764372,-20.6313020384543,-0.690528437982866
7,21.5852386841464,-20.1621276546095,-1.42311102953694
7.2,21.7729351236545,-19.5424278907244,-2.23050723293011
