"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0210692592150913
0.4,0.0863843849346432
0.6,0.126375859401695
0.8,-0.12642250140441
1,-0.235404236228319
1.2,0.133252590667956
1.4,0.841112803689465
1.6,-0.577192665656067
1.8,-0.878967655521953
2,-1.12153303911904
2.2,0.735259781504378
2.4,0.787038149626958
2.6,-1.79781101233717
2.8,-0.687038882450567
3,-0.478613215720811
3.2,0.838305171705507
3.4,-2.53490348328674
3.6,-1.81169867920881
3.8,-1.33323638439414
4,-3.10724238609456
4.2,-0.506749896775232
4.4,-2.83811274770238
4.6,-2.00038906922236
4.8,-4.8342078129751
5,-3.5952554462153
5.2,-1.96497034357095
5.4,-4.22639374611132
5.6,-4.57347668240654
5.8,-9.19216523922794
6,-3.01119915714808
6.2,-4.72315717741332
6.4,-8.52509211030775
6.6,-11.5299946829464
6.8,-8.42710380258511
7,-3.28983802954041
7.2,-12.1536804671188
7.4,-12.288120752471
7.59999999999999,-11.9565545665683
7.79999999999999,-7.15165472726698
8,-10.6931462496119
8.2,-18.0339630505806
8.4,-15.6358328873155
8.6,-12.5838134446063
8.8,-10.5783069574427
9,-21.4825455077552
9.2,-18.6935698585088
9.4,-14.5031304999604
9.6,-14.7694844324329
9.8,-19.6616738109996
10,-23.0658567278733
10.2,-18.0236465637751
10.4,-17.2756452692418
10.6,-20.8574598619096
10.8,-24.8596858919492
11,-22.4706706532773
11.2,-18.0482381848015
11.4,-22.8779418958519
11.6,-24.7245317526791
11.8,-23.7626471520565
12,-19.4175070692003
12.2,-21.8435495448719
12.4,-25.9348604208424
12.6,-22.5665101367023
12.8,-22.939102239898
13,-21.3104770469039
13.2,-26.0642352992333
13.4,-24.3662340057053
13.6,-21.0905791392027
13.8,-21.3143993094634
14,-23.9879236565491
14.2,-25.3760890574567
14.4,-18.6255050263053
14.6,-20.6954945473498
14.8,-22.3111873398022
15,-22.8195100578925
15.2,-19.4778415891409
15.4,-17.5838235217137
15.6,-20.4774204758206
15.8,-20.2606818456111
16,-18.7408591666163
16.2,-14.5292680962987
16.4,-16.1602979577215
16.6,-18.1077611412477
16.8,-15.6416576424864
17,-13.333644674863
17.2,-13.1030230103581
17.4,-14.5581895300685
17.6,-13.0517891451149
17.8,-11.0320531942725
18,-9.63524236721246
18.2,-10.1920951394427
18.4,-10.3556234448967
18.6,-7.68143339891251
18.8,-6.44525129387392
19,-6.75694897450893
19.2,-7.03513273855271
19.4,-5.20885516689251
19.6,-3.57958316357837
19.8,-3.18213742321008
20,-3.20590150340905
20.2,-2.32098446950456
20.4,-0.648599909242712
20.6,0.20191142711214
20.8,0.153170373416817
21,0.362142800598346
21.2,1.74111345813618
21.4,2.97923877830218
21.6,3.03170082318022
21.8,2.85213418901141
22,3.98528174174352
22.2,5.29261655581946
22.4,5.69411007917243
22.6,5.20225689988292
22.8,5.4212117207913
23,6.71462765383281
23.2,7.64537161247745
23.4,7.05093303753786
23.6,6.09978582257405
23.8,7.72152501835561
24,8.96683594656114
24.2,8.42336462060929
24.4,7.02877220486218
24.6,7.49381932253626
24.8,9.16749591817287
25,8.89420515655786
25.2,7.67572389758502
25.4,6.28553015152686
25.6,8.5850108843345
25.8,9.26425921735988
26,7.43174569488169
26.2,5.82121918952007
26.4,6.569242925428
26.6,8.6608079373063
26.7999999999999,6.43793652432425
26.9999999999999,4.86961320096808
27.1999999999999,4.17640279100694
27.3999999999999,6.50320055914458
