"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0725106959033634,-0.981931276967403,0.909420581064039
0.4,0.189296388718771,-1.93891315661568,1.74961676789691
0.6,0.360901190969743,-2.84389866551766,2.48299747454792
0.8,0.656894864254214,-3.80155877329514,3.14466390904092
1,0.985620331082008,-4.77576978773602,3.79014945665401
1.2,1.27471062430951,-5.71810311143846,4.44339248712895
1.4,1.62538802505776,-6.53709892135319,4.91171089629543
1.6,2.11349329986851,-7.43678553966569,5.32329223979718
1.8,2.71845684457374,-8.41264643109279,5.69418958651905
2,3.16564586582385,-9.28373669258421,6.11809082676036
2.2,3.70701449313408,-10.2266454341063,6.51963094097218
2.4,4.36295536081324,-11.0705203396644,6.70756497885111
2.6,5.09438325697956,-11.9388799732126,6.84449671623308
2.8,5.7834240201334,-12.7162755700207,6.93285154988728
3,6.35596993202797,-13.5257082611516,7.1697383291236
3.2,7.17687218500338,-14.3728996760326,7.19602749102922
3.4,8.01161776431288,-15.1579700065976,7.1463522422847
3.6,8.78696415452012,-15.7421602974939,6.95519614297382
3.8,9.4626380254747,-16.3022947300981,6.83965670462338
4,10.3888402198546,-17.1585219464185,6.76968172656384
4.2,11.3920528063635,-17.9325209244336,6.54046811807015
4.4,12.0908522539819,-18.2965225732886,6.20567031930674
4.6,12.7891002132068,-18.4884305013312,5.69933028812437
4.8,13.6680064418189,-19.0673035317664,5.39929708994747
5,14.7803308132014,-19.8249711327194,5.04464031951797
5.2,15.5044838639371,-20.0813098504871,4.57682598655004
5.4,16.0066533655245,-19.9414235424825,3.93477017695798
5.6,16.7816556921839,-20.0824951173265,3.30083942514261
5.8,17.8561408677587,-20.6583007361697,2.80215986841101
6,18.6579374585532,-20.8560228044345,2.19808534588124
6.2,18.98187555725,-20.5073063827634,1.52543082551348
6.4,19.5339520852994,-20.2325474555224,0.698595370223046
6.6,20.5403000228301,-20.4771524705832,-0.063147552246857
6.8,21.3497556712134,-20.6480930966912,-0.701662574522246
7,21.6137762790461,-20.179945572924,-1.43383070612211
7.2,21.8045658996162,-19.5600061285361,-2.24455977108008
7.4,22.6210237041385,-19.4786596460025,-3.14236405813606
7.59999999999999,23.38172205943,-19.5178045765965,-3.86391748283347
7.79999999999999,23.6277315648241,-19.0624837253475,-4.56524783947667
8,23.5037414421847,-18.1787746589924,-5.32496678319227
8.2,23.9164604869096,-17.796635816766,-6.11982467014358
8.4,24.6101780812399,-17.6736890730078,-6.93648900823204
8.6,24.8070375614808,-17.2199789577382,-7.5870586037426
8.8,24.4681433971003,-16.2371143871994,-8.23102900990088
9,24.3920134068341,-15.5421877819642,-8.8498256248699
9.2,24.8208272589974,-15.2629496010303,-9.55787765796705
9.4,24.9745030068231,-14.7445106885374,-10.2299923182857
9.6,24.5119819803791,-13.8233861615833,-10.6885958187959
9.8,23.9594995184985,-12.7954987225912,-11.1640007959073
10,24.0714253415983,-12.3943810147715,-11.6770443268269
10.2,24.1049409338619,-11.8161420229916,-12.2887989108704
10.4,23.5984534243459,-10.9631119024985,-12.6353415218474
10.6,22.7544612887484,-9.85730756102752,-12.8971537277209
10.8,22.5045545021846,-9.24981127458209,-13.2547432276025
11,22.4091063441884,-8.75030436625947,-13.6588019779289
11.2,21.882263173502,-7.90714033190824,-13.9751228415937
11.4,20.9455654605682,-6.90281102011138,-14.0427544404568
11.6,20.3404882228761,-6.10386513268179,-14.2366230901944
11.8,20.1230335565399,-5.67988585930699,-14.4431476972329
12,19.6487437984613,-4.97707711837846,-14.6716666800829
12.2,18.7175497809266,-4.07955325421635,-14.6379965267102
12.4,17.9195346436176,-3.28419981170467,-14.6353348319129
12.6,17.5261089346738,-2.80391221751962,-14.7221967171541
12.8,17.1332135069995,-2.37680523602187,-14.7564082709777
13,16.2910895257291,-1.63958325809762,-14.6515062676315
13.2,15.4028387315906,-0.94817180636698,-14.4546669252236
13.4,14.9408640467448,-0.496641780733505,-14.4442222660113
13.6,14.5243795538133,-0.197269070262437,-14.3271104835509
13.8,13.8164442644084,0.27530130384072,-14.0917455682491
14,12.8681795429659,0.872839044393822,-13.7410185873598
14.2,12.3368927674577,1.25344125890948,-13.5903340263672
14.4,11.9122079564443,1.48796356191889,-13.4001715183632
14.6,11.2655887220571,1.73962806532617,-13.0052167873833
14.8,10.4329517068811,2.17122443416218,-12.6041761410433
15,9.79270491435369,2.49865222525802,-12.2913571396117
15.2,9.42380569845333,2.65471657106777,-12.0785222695211
15.4,8.82352819508591,2.78481711285838,-11.6083453079443
15.6,8.14209801616686,2.99102400850623,-11.1331220246731
15.8,7.50241164113705,3.27671673638867,-10.7791283775257
16,7.11864816250093,3.35095247064031,-10.4696006331412
16.2,6.6602025555842,3.38260295543462,-10.0428055110188
16.4,6.02882885402987,3.44350429673773,-9.4723331507676
16.6,5.50355818641586,3.57375037417428,-9.07730856059013
16.8,5.12061702030539,3.5972105145133,-8.71782753481869
17,4.82692081356274,3.48202418705091,-8.30894500061365
17.2,4.29028056562693,3.43480714758747,-7.7250877132144
17.4,3.83906319590408,3.42886425392172,-7.2679274498258
17.6,3.52474269007348,3.38729870824003,-6.91204139831351
17.8,3.29505782456865,3.17049353902014,-6.46555136358879
18,2.97289696899702,3.01150121736112,-5.98439818635815
18.2,2.57766074578298,2.91907894247476,-5.49673968825774
18.4,2.35108698460637,2.77924694184668,-5.13033392645305
18.6,2.19446827637472,2.53676291993481,-4.73123119630953
18.8,2.00236086789881,2.25003963345811,-4.25240050135692
19,1.72456462912218,2.06623798146871,-3.7908026105909
19.2,1.56132640674039,1.86112943861999,-3.42245584536038
19.4,1.5037186710442,1.60162466014882,-3.10534333119302
19.6,1.42137903663721,1.26363512356189,-2.6850141601991
19.8,1.28492376438104,1.00564754606489,-2.29057131044592
20,1.19993499784658,0.772451903536275,-1.97238690138286
20.2,1.22841223060376,0.462806499344641,-1.6912187299484
20.4,1.23127846228753,0.103874731622941,-1.33515319391047
20.6,1.20302920477833,-0.213179706574813,-0.989849498203521
20.8,1.2035661222503,-0.47222979350891,-0.731336328741387
21,1.31606218707936,-0.80229340286901,-0.513768784210345
21.2,1.42142197909175,-1.17757778377827,-0.243844195313486
21.4,1.47398384236202,-1.52022068775011,0.0462368453880853
21.6,1.54837418100957,-1.77206393238308,0.223689751373513
21.8,1.73339255307673,-2.08853704700548,0.35514449392875
22,1.9421041661941,-2.46952059070652,0.527416424512423
22.2,2.05293429485119,-2.81373843748837,0.760804142637183
22.4,2.18143658683129,-3.05120542802985,0.869768841198558
22.6,2.40194754311219,-3.30127166281168,0.899324119699488
22.8,2.705786154151,-3.66939597709452,0.963609822943515
23,2.89439632834097,-4.00572582628605,1.11132949794508
23.2,3.04332817019975,-4.23947572617091,1.19614755597116
23.4,3.28207902938465,-4.39643117856065,1.114352149176
23.6,3.6412725989532,-4.70478580788294,1.06351320892974
23.8,3.9358856684573,-5.03661820868411,1.10073254022681
24,4.07155838152769,-5.23986647119558,1.16830808966788
24.2,4.30696393484157,-5.33107453026917,1.0241105954276
24.4,4.67097074699462,-5.50543816170977,0.834467414715145
24.6,5.0418194505603,-5.81553655157283,0.773717101012532
24.8,5.22504935152493,-6.00261959001483,0.777570238489905
25,5.42976152348875,-6.07669909821942,0.646937574730666
25.2,5.77406116906153,-6.10925879001277,0.335197620951236
25.4,6.12843030062864,-6.29640958982583,0.167979289197186
25.6,6.37120196833253,-6.48349740613856,0.112295437806033
25.8,6.49962377421452,-6.50231219582991,0.0026884216153924
26,6.79391060282637,-6.44549613081871,-0.348414472007665
26.2,7.12763037601588,-6.45559350334789,-0.672036872667991
26.4,7.40730762988173,-6.62063508439473,-0.786672545487
26.6,7.50642192529385,-6.61401542777451,-0.892406497519342
26.7999999999999,7.67864823198651,-6.49563253167372,-1.18301570031279
26.9999999999999,8.02198906006902,-6.38112078248022,-1.6408682775888
27.1999999999999,8.2492938055886,-6.38776961779953,-1.86152418778907
27.3999999999999,8.35953163023918,-6.41940876101275,-1.94012286922643
27.5999999999999,8.41384725379708,-6.238726294129,-2.17512095966809
27.7999999999999,8.64401198140479,-6.02556523810133,-2.61844674330346
27.9999999999999,8.90441839631134,-5.89950194285618,-3.00491645345516
28.1999999999999,9.01526989019645,-5.91490669551705,-3.1003631946794
28.3999999999999,8.99200141633195,-5.72977485587834,-3.26222656045361
28.5999999999999,9.04905343934608,-5.4247485846649,-3.62430485468118
28.7999999999999,9.25301705412551,-5.17675006020154,-4.07626699392397
28.9999999999999,9.3451623201581,-5.08321980523561,-4.2619425149225
29.1999999999999,9.3454306001878,-5.00430809301852,-4.34112250716928
29.3999999999999,9.25778078240524,-4.63591891252326,-4.62186186988199
29.5999999999999,9.27797426273662,-4.27514571709501,-5.00282854564161
29.7999999999999,9.37538126438467,-4.06739407527174,-5.30798718911293
29.9999999999999,9.3584977348188,-4.00845206981935,-5.35004566499945
30.1999999999999,9.22353164513329,-3.70562161599644,-5.51791002913685
30.3999999999999,9.04434851986278,-3.22867634416137,-5.81567217570142
30.5999999999999,9.05165037222302,-2.93089021411664,-6.12076015810638
30.7999999999999,9.0422949473465,-2.81504040765192,-6.22725453969458
30.9999999999999,8.89070722686875,-2.64706016447035,-6.24364706239839
31.1999999999999,8.61063874994661,-2.16039638527596,-6.45024236467065
31.3999999999999,8.44129431783108,-1.75334888709215,-6.68794543073893
31.5999999999999,8.43700154333158,-1.58075158602256,-6.85624995730902
31.7999999999999,8.25078276607756,-1.46623581058952,-6.78454695548803
31.9999999999999,7.97863550189947,-1.113206174925,-6.86542932697447
32.1999999999999,7.6615476096943,-0.619817814449617,-7.04172979524468
32.3999999999999,7.56556402035183,-0.384536674180267,-7.18102734617157
32.5999999999999,7.44682863312369,-0.283292018030753,-7.16353661509293
32.7999999999999,7.10511675865091,-0.0798728220319688,-7.02524393661894
32.9999999999999,6.75517484014833,0.362341872373667,-7.11751671252199
33.1999999999999,6.51904296835483,0.692073328545527,-7.21111629690035
33.3999999999999,6.41991206762248,0.780564571928226,-7.2004766395507
33.5999999999999,6.10457710580238,0.897293514637429,-7.00187062043981
33.7999999999999,5.70037641291642,1.19621483101352,-6.89659124392993
33.9999999999999,5.3979398250691,1.56791952802803,-6.96585935309713
34.1999999999999,5.24563349182487,1.68041984004512,-6.92605333186999
34.3999999999999,5.02827322872221,1.72423415520269,-6.7525073839249
34.5999999999999,4.59301833760025,1.89941200733465,-6.4924303449349
34.7999999999999,4.24389899064736,2.20025406257106,-6.44415305321842
34.9999999999999,4.03384371694188,2.37012833649042,-6.4039720534323
35.1999999999999,3.87563207140391,2.34659180073706,-6.22222387214097
35.3999999999999,3.49356141947503,2.4203517626662,-5.91391318214123
35.5999999999999,3.08857013192519,2.60795615279654,-5.69652628472172
35.7999999999999,2.87046981344147,2.78892629748479,-5.65939611092626
35.9999999999999,2.71014121777497,2.75257527419328,-5.46271649196825
36.1999999999999,2.4792161222926,2.7020566384596,-5.1812727607522
36.3999999999999,2.0774902393118,2.79506325155513,-4.87255349086694
36.5999999999999,1.83392010136475,2.91751062079154,-4.75143072215629
36.7999999999999,1.71621958373239,2.89446400125735,-4.61068358498974
36.9999999999999,1.5537518953543,2.75014158193962,-4.30389347729392
37.1999999999999,1.22669403369734,2.73775729724724,-3.96445133094458
37.3999999999999,0.948040487513754,2.78639372205166,-3.73443420956542
37.5999999999999,0.861544577214908,2.76431399061886,-3.62585856783376
37.7999999999999,0.766186820191634,2.57758951278223,-3.34377633297387
37.9999999999999,0.552794075561782,2.44822952976383,-3.00102360532561
38.1999999999999,0.291582910393749,2.44008958826202,-2.73167249865577
38.3999999999999,0.197792688670195,2.3789605865795,-2.5767532752497
38.5999999999999,0.17071482944874,2.20402006831462,-2.37473489776336
38.7999999999999,0.0549295150905914,1.98445383514109,-2.03938335023168
38.9999999999999,-0.144686336131763,1.89843593429697,-1.75374959816521
39.1999999999999,-0.239144963396033,1.82872707121097,-1.58958210781493
39.3999999999999,-0.2036586687926,1.63765394667834,-1.43399527788574
39.5999999999999,-0.235150141618051,1.37534370913211,-1.14019356751406
39.7999999999999,-0.354700539125369,1.20856152496195,-0.85386098583658
39.9999999999999,-0.423155367266167,1.11861119511043,-0.695455827844264
40.1999999999999,-0.354160259170756,0.929239574793382,-0.575079315622626
40.3999999999999,-0.297347040673942,0.653671881739823,-0.356324841065882
40.5999999999999,-0.335043251427811,0.424878869698505,-0.0898356182706945
40.7999999999999,-0.372142095740424,0.30445905475735,0.0676830409830736
40.9999999999999,-0.281939098842579,0.137876203424292,0.144062895418287
41.1999999999999,-0.13863838328373,-0.14096113924776,0.27959952253149
41.3999999999999,-0.101293723673478,-0.411039586027139,0.512333309700617
41.5999999999999,-0.102514742850053,-0.557652155445438,0.660166898295491
41.7999999999999,0.00665083877141855,-0.695359095875173,0.688708257103755
41.9999999999999,0.207738221543525,-0.956153000956252,0.748414779412726
42.1999999999999,0.32447142764766,-1.24014256446181,0.915671136814149
42.3999999999999,0.3633498462733,-1.40914542987703,1.04579558360373
42.5999999999999,0.470062536685861,-1.51024905657708,1.04018651989122
42.7999999999999,0.704151566516467,-1.7184901625564,1.01433859603994
42.9999999999999,0.901406596771709,-1.99367008434526,1.09226348757355
43.1999999999999,0.977536258529902,-2.18804325758012,1.21050699905022
43.3999999999998,1.08079125291524,-2.25791841121981,1.17712715830457
43.5999999999998,1.3152216400437,-2.3898520892696,1.0746304492259
43.7999999999998,1.58637046746698,-2.64709103471747,1.06072056725049
43.9999999999998,1.71007085495968,-2.84638064311184,1.13630978815216
44.1999999999998,1.80105873656922,-2.90437474946436,1.10331601289515
44.3999999999998,2.00978869098101,-2.94237180599123,0.932583115010225
44.5999999999998,2.31458796853891,-3.13558153542516,0.820993566886246
44.7999999999998,2.50660594660119,-3.33376432933268,0.827158382731495
44.9999999999998,2.57187501242496,-3.38999133104601,0.818116318621054
45.1999999999998,2.7419018321018,-3.35825621298302,0.616354380881218
45.3999999999998,3.02992836915968,-3.44184315219109,0.411914783031408
45.5999999999998,3.28444176678387,-3.63348026579916,0.349038499015286
45.7999999999998,3.35173489868434,-3.68229976431994,0.330564865635604
45.9999999999998,3.44581076714162,-3.60706593067296,0.161255163531342
46.1999999999998,3.69390106801002,-3.56555330840463,-0.128347759605385
46.3999999999998,3.96696839568064,-3.69196058877138,-0.275007806909258
46.5999999999998,4.08469138862034,-3.76112984017576,-0.323561548444577
