"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0210037392140142
0.4,0.0861574705769176
0.6,0.126472572442311
0.8,-0.123418339392816
1,-0.2309193754335
1.2,0.127758202528878
1.4,0.841940848909619
1.6,-0.580077125772951
1.8,-0.86737805318522
2,-1.06610273242084
2.2,0.726856134823688
2.4,0.764839627678962
2.6,-1.79330461988475
2.8,-0.649736365843449
3,-0.491043714300313
3.2,0.826288498285188
3.4,-2.5476175075925
3.6,-1.84250188085426
3.8,-1.33923636709358
4,-3.2489579231633
4.2,-0.49858438792841
4.4,-2.82265465537589
4.6,-1.96722663692931
4.8,-5.00534264965567
5,-3.73938710857526
5.2,-1.78651841679435
5.4,-4.18450272355989
5.6,-4.90441985920435
5.8,-9.4743608387492
6,-2.86377408522748
6.2,-4.66947821961756
6.4,-9.02160784465134
6.6,-12.0705030425585
6.8,-8.59707697620637
7,-3.05349374251216
7.2,-12.4604971768851
7.4,-13.3004279617733
7.59999999999999,-12.5745082856306
7.79999999999999,-7.14111384311148
8,-10.9813897341325
8.2,-19.2295819123035
8.4,-16.7136883519542
8.6,-13.0162094694613
8.8,-10.9093895410842
9,-22.8333825158476
9.2,-20.2281891686412
9.4,-15.4746291637492
9.6,-15.1779005281294
9.8,-21.0762008266245
10,-24.9556404151064
10.2,-19.4960273223782
10.4,-18.1083178273084
10.6,-22.0670599250589
10.8,-26.9796487702124
11,-24.3479044821109
11.2,-19.3771349170914
11.4,-24.0781878512792
11.6,-26.7630847467946
11.8,-25.9075887581166
12,-21.011498645531
12.2,-23.1290316417719
12.4,-27.7491517064082
12.6,-24.9130464259529
12.8,-24.7496413928732
13,-22.6784867641404
13.2,-27.7992135380951
13.4,-26.5178917277982
13.6,-23.1135261569686
13.8,-22.7490057422744
14,-25.4018488657736
14.2,-27.3399388927255
14.4,-20.471930403932
14.6,-22.2162002123789
14.8,-23.5308223754872
15,-24.6198548873049
15.2,-21.1216377643464
15.4,-18.8842811716737
15.6,-21.6337015942724
15.8,-21.5214003899644
16,-20.2020151849486
16.2,-15.5639440600385
16.4,-17.1069041650384
