"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0754644382080722,-0.98340809110413,0.907943652896057
0.4,0.196911603049511,-1.94273822691208,1.74582662386257
0.6,0.375838479482956,-2.85126041157207,2.47542193208911
0.8,0.68434804788834,-3.81527769354809,3.13092964565975
1,1.02693675378176,-4.79690182620108,3.76996507241932
1.2,1.32829006625142,-5.74514552895263,4.41685546270122
1.4,1.69524475834484,-6.57212981540179,4.87688505705695
1.6,2.20676861948422,-7.48482613080674,5.27805751132252
1.8,2.83912141192676,-8.47570835579076,5.636586943864
2,3.30564619812086,-9.35686127583064,6.05121507770978
2.2,3.87695795769861,-10.3193241093727,6.44236615167405
2.4,4.57009165154942,-11.1839414167733,6.6138497652239
2.6,5.33936199669891,-12.0721396397734,6.73277764307452
2.8,6.06372827004196,-12.8715581482644,6.80782987822248
3,6.67064092884176,-13.702505773775,7.03186484493322
3.2,7.56054218226666,-14.5958752643511,7.03533308208447
3.4,8.4483521212785,-15.4160465051512,6.96769438387265
3.6,9.25810917227941,-16.015562724688,6.75745355240855
3.8,9.99912365497786,-16.6207970913536,6.62167343637577
4,11.0155337660037,-17.5410212327988,6.52548746679505
4.2,12.0910917903274,-18.3684551823398,6.2773633920124
4.4,12.8292223149498,-18.7573143288067,5.92809201385694
4.6,13.5875424349632,-18.9769124494446,5.38937001448145
4.8,14.5729153470515,-19.6321069976585,5.05919165060706
5,15.8051812514907,-20.4708841071636,4.66570285567295
5.2,16.5720268407127,-20.7623215333884,4.19029469267574
5.4,17.1213591366646,-20.6466623089939,3.52530317232928
5.6,18.019976182522,-20.8595709233587,2.83959474083674
5.8,19.2501196857688,-21.5332328156652,2.28311312989643
6,20.1192214934459,-21.78667128491,1.66744979146414
6.2,20.487358658188,-21.4619301415363,0.974571483348356
6.4,21.1476141203677,-21.2329424089945,0.0853282886267728
6.6,22.3617967369779,-21.5998242457289,-0.761972491249068
6.8,23.2809712982933,-21.8426605427365,-1.43831075555682
7,23.5975915223663,-21.4135065574514,-2.18408496491485
7.2,23.8576232631574,-20.8171560813087,-3.04046718184869
7.4,24.8804481174903,-20.8388291650558,-4.04161895243452
7.59999999999999,25.8080062167565,-20.9750683121625,-4.83293790459401
7.79999999999999,26.1221423985382,-20.5754775608751,-5.54666483766312
8,26.0643934516639,-19.7103778362481,-6.35401561541572
8.2,26.6433440931044,-19.4029895293006,-7.2403545638038
8.4,27.5104836506121,-19.3796884768849,-8.13079517372726
8.6,27.809551824505,-18.9971640713104,-8.81238775319454
8.8,27.5018372873537,-18.0250153614881,-9.47682192586559
9,27.4975237249074,-17.3428958389786,-10.1546278859288
9.2,28.0612040531956,-17.1481310094785,-10.9130730437171
9.4,28.3049861825044,-16.6894063471615,-11.6155798353429
9.6,27.8340722175149,-15.7622222824049,-12.07184993511
9.8,27.2637289893651,-14.7005772081384,-12.5631517812267
10,27.437287179671,-14.3169834902894,-13.1203036893816
