"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0212318894968528
0.4,0.0857459075754605
0.6,0.126061110736083
0.8,-0.119499665967331
1,-0.23423714076993
1.2,0.122823197722083
1.4,0.840276212595171
1.6,-0.574554649993448
1.8,-0.877006345023682
2,-1.09930822549226
2.2,0.732592048764023
2.4,0.758410210568293
2.6,-1.78705213929703
2.8,-0.698843944844402
3,-0.494052616470683
3.2,0.863463988952873
3.4,-2.52339384007794
3.6,-1.85255957907659
3.8,-1.32629561824634
4,-3.10527162191683
4.2,-0.468644441289872
4.4,-2.91810588470304
4.6,-1.93910458016123
4.8,-4.84004154974726
5,-3.59036089739591
5.2,-1.97695678245062
5.4,-4.24498662713571
5.6,-4.60450059768997
5.8,-9.22132847931686
6,-2.9868606355485
6.2,-4.71289451836538
6.4,-8.62040294852379
6.6,-11.509680174391
6.8,-8.43907251703316
7,-3.31674294283029
7.2,-12.0587496039138
7.4,-12.3131422201762
7.59999999999999,-11.9455539110089
7.79999999999999,-7.20136664971381
8,-10.7247862048269
8.2,-17.940863654554
8.4,-15.5714881412617
8.6,-12.6359938323527
8.8,-10.5267135925653
9,-21.3524092619474
9.2,-18.660356232133
9.4,-14.482161408761
9.6,-14.7177599317456
9.8,-19.6634958882017
10,-23.0844905600646
10.2,-17.9991501995641
10.4,-17.2355764053615
10.6,-20.864623223514
10.8,-24.8267180973065
11,-22.4948467291352
11.2,-18.0882484845396
11.4,-22.9359985690964
11.6,-24.5939384854207
11.8,-23.7262679549205
12,-19.4346587963941
12.2,-21.821351742371
12.4,-25.9000490063908
12.6,-22.5148502630745
12.8,-22.8164919959937
13,-21.2792889005057
13.2,-25.9535923689393
13.4,-24.3133347381315
13.6,-21.0698911243328
13.8,-21.3068164437922
14,-23.8327192996801
14.2,-25.3145472072955
14.4,-18.6448766247938
14.6,-20.701017610317
14.8,-22.3576721801879
15,-22.8545122666914
15.2,-19.4216964346877
15.4,-17.524662648414
15.6,-20.4732334924541
15.8,-20.2433948516046
16,-18.6852345864779
16.2,-14.5450750453703
16.4,-16.1692601053583
16.6,-18.0474145134975
16.8,-15.6087624930488
17,-13.3145645110825
17.2,-12.9358294329173
17.4,-14.5456540482148
17.6,-13.0355065241941
17.8,-10.9735655700863
18,-9.63187915015638
18.2,-10.1743579893334
18.4,-10.3499031740379
18.6,-7.67565850904299
18.8,-6.4676699409412
19,-6.74944608992608
19.2,-7.02015704308858
19.4,-5.21800492927334
19.6,-3.5905188523374
19.8,-3.18955817578836
20,-3.21658529455015
20.2,-2.3243976850949
20.4,-0.636272107729574
20.6,0.194168354394494
20.8,0.140738109984694
21,0.355458181200817
21.2,1.73310413114473
21.4,2.96286329438771
21.6,3.0391630704735
21.8,2.84877249482487
22,3.97574626570263
22.2,5.2917656731542
22.4,5.68257723145937
22.6,5.17788797445818
22.8,5.40002593077942
23,6.71047398760689
23.2,7.6201016755285
23.4,7.02134583991402
23.6,6.07107393597164
23.8,7.69172835997417
24,8.91895069047821
24.2,8.44525065807783
24.4,7.02806563435771
24.6,7.46097807241471
24.8,9.14905870559326
25,8.87073499010914
25.2,7.63638755634259
25.4,6.28943128743193
25.6,8.57006146646409
25.8,9.23667310620341
26,7.40841744869405
26.2,5.79985947914582
26.4,6.51981504353488
26.6,8.66743486963824
26.7999999999999,6.43112169680865
26.9999999999999,4.85330759679689
