"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0382601736528838,-0.951332427082955,0.913072253430071
0.4,0.120481941048038,-1.87997550223047,1.75949356118244
0.6,0.256927955928358,-2.76282136590939,2.50589340998103
0.8,0.515787251019152,-3.69536049095137,3.17957323993222
1,0.816848048552017,-4.65114544835006,3.83429739979804
1.2,1.08167811438011,-5.58551133827456,4.50383322389444
1.4,1.40110907250324,-6.40425448025123,5.00314540774799
1.6,1.83067831939613,-7.24477681699258,5.41409849759645
1.8,2.41845918753875,-8.22046172344868,5.80200253590993
2,2.89844848425716,-9.12599653403705,6.22754804977989
2.2,3.36546772449098,-10.0277853327563,6.66231760826528
2.4,3.98159917481244,-10.8742094164558,6.89261024164333
2.6,4.66828346522257,-11.7417913628885,7.07350789766593
2.8,5.41007310713474,-12.5669137494356,7.15684064230086
3,6.00954066412295,-13.3158014870891,7.30626082296611
3.2,6.66322735221591,-14.1609560272697,7.49772867505381
3.4,7.51199051026097,-14.9508485396646,7.43885802940363
3.6,8.32164273524844,-15.658801938267,7.33715920301855
3.8,9.11814769144853,-16.2413479544107,7.12320026296221
4,9.80930777705294,-16.7871680443029,6.97786026724997
4.2,10.6674007526844,-17.5125807710041,6.84518001831975
4.4,11.6272761658263,-18.1407454843117,6.51346931848534
4.6,12.412719542876,-18.5618877592114,6.14916821633543
4.8,13.1589869743159,-18.8736056104848,5.71461863616893
5,13.9365566417869,-19.1853566096431,5.24879996785622
5.2,14.7686316126221,-19.6046413729642,4.83600976034216
5.4,15.6705684721173,-19.9444288544476,4.27386038233032
5.6,16.3996788346813,-20.0556385213953,3.65595968671397
5.8,17.0328364188755,-20.0831501273831,3.05031370850764
6,17.7374089908135,-20.1040122603647,2.36660326955116
6.2,18.4178133269551,-20.1114801000515,1.69366677309635
6.4,19.1323838318604,-20.1576846527803,1.02530082091987
6.6,19.7904698884321,-20.0165714872742,0.226101598842114
6.8,20.3136227296406,-19.7214915059406,-0.592131223700036
7,20.8168633195144,-19.4331905315039,-1.38367278801042
7.2,21.3067335564758,-19.1248628764945,-2.18187067998128
7.4,21.7769930585586,-18.8060415151636,-2.970951543395
7.59999999999999,22.2332332134528,-18.4721686831003,-3.76106453035249
7.79999999999999,22.6054257134816,-17.9705072657651,-4.63491844771641
7.99999999999999,22.8241749796481,-17.298508111737,-5.52566686791105
8.2,23.0164385019022,-16.688801593236,-6.3276369086662
8.4,23.1959761604081,-16.1582856587075,-7.03769050170069
8.6,23.3340225272355,-15.5715575275616,-7.76246499967386
8.8,23.4234871551873,-14.8995228506867,-8.52396430450052
9,23.4156577506598,-14.1388633066558,-9.27679444400397
9.2,23.2594395782151,-13.2706535985035,-9.98878597971165
9.4,23.0189948517617,-12.3433177591001,-10.6756770926616
9.6,22.7253809609986,-11.4766454080368,-11.2487355529618
9.8,22.4104462253827,-10.7116683653393,-11.6987778600434
10,22.0617346884697,-9.91298741284822,-12.1487472756215
10.2,21.6691282777262,-8.98817027620902,-12.6809580015172
10.4,21.1311401801554,-7.97799090766156,-13.1531492724939
10.6,20.4848803249489,-6.95321419700593,-13.531666127943
10.8,19.7871695497285,-5.9494048323946,-13.8377647173339
11,19.0413882655429,-4.97259515630076,-14.0687931092422
11.2,18.2909249464799,-4.0642536859884,-14.2266712604915
11.4,17.5285494091619,-3.22805285745641,-14.3004965517055
11.6,16.7576803487107,-2.40749024956071,-14.35019009915
11.8,15.9506777674557,-1.56513988227427,-14.3855378851815
12,15.0841203848255,-0.677217490982412,-14.4069028938431
12.2,14.1559165670644,0.236898080270219,-14.3928146473346
12.4,13.1739934633593,1.11264564160486,-14.2866391049641
12.6,12.1818764622296,1.9096213856154,-14.091497847845
12.8,11.2425121174273,2.57651091608799,-13.8190230335153
13,10.3538968929909,3.13327551308231,-13.4871724060733
13.2,9.51443416771569,3.60258123817032,-13.117015405886
13.4,8.66651148372006,4.04108266531146,-12.7075941490315
13.6,7.74097026301869,4.50348717754612,-12.2444574405648
13.8,6.7738932986738,4.96349326122749,-11.7373865599013
14,5.79231589097221,5.39268498940457,-11.1850008803768
14.2,4.83965404181607,5.78065108192696,-10.620305123743
14.4,3.93494964019844,6.10744898957011,-10.0423986297686
14.6,3.10179252852647,6.34569592910787,-9.44748845763434
14.8,2.34196452060507,6.48734506052782,-8.8293095811329
15,1.63543072071111,6.51206991640678,-8.1475006371179
15.2,0.943663243886,6.48207506657048,-7.42573831045648
15.4,0.244691110575054,6.42154926139548,-6.66624037197054
15.6,-0.484593786576328,6.3529170509639,-5.86832326438757
15.8,-1.22586278209962,6.27276632803702,-5.0469035459374
16,-1.92554180697969,6.15928057775548,-4.23373877077579
16.2,-2.54863802565123,5.99224847068272,-3.44361044503149
16.4,-3.06010382920194,5.74601029113517,-2.68590646193323
16.6,-3.4931089124056,5.43225714236294,-1.93914822995734
16.8,-3.86962930085446,5.04015235293612,-1.17052305208166
17,-4.24048115480478,4.57732413218663,-0.336842977381851
17.2,-4.60039926588767,4.06278023654662,0.537619029341046
17.4,-4.92616069064753,3.51787547525574,1.40828521539179
17.6,-5.20354799458228,2.96738184642733,2.23616614815495
17.8,-5.40505186703014,2.41292697512179,2.99212489190835
18,-5.52754271235678,1.83363915609975,3.69390355625703
18.2,-5.56712886293979,1.16833954583226,4.39878931710752
18.4,-5.55048180200444,0.424359893000246,5.1261219090042
18.6,-5.48337261760261,-0.364430161675178,5.84780277927779
18.8,-5.39548666905921,-1.14265951170162,6.53814618076083
19,-5.2720819306041,-1.91522488787189,7.18730681847599
19.2,-5.08151144041183,-2.691622761918,7.77313420232983
19.4,-4.79566164381993,-3.50946227820051,8.30512392202044
19.6,-4.46905120361159,-4.35422910961767,8.82328031322926
19.8,-4.1112939038322,-5.23750553933836,9.34879944317055
20,-3.67296376122217,-6.15544328479304,9.82840704601522
20.2,-3.15491076254059,-7.05930558003559,10.2142163425762
20.4,-2.60542336468848,-7.86721067425343,10.4726340389419
20.6,-2.01395369231109,-8.69285102729305,10.7068047196041
20.8,-1.35049855178564,-9.58474494250599,10.9352434942916
21,-0.646241795320383,-10.4717905732331,11.1180323685535
21.2,0.0590618374923264,-11.3009649218759,11.2419030843835
21.4,0.777824685774932,-12.1120302941439,11.334205608369
21.6,1.57958661946972,-12.9059736218508,11.3263870023811
21.8,2.47659376911735,-13.6339796531027,11.1573858839854
22,3.38142651320406,-14.3391078618584,10.9576813486543
22.2,4.27999856633749,-15.0504270459533,10.7704284796158
22.4,5.19484922700676,-15.6735256458512,10.4786764188445
22.6,6.03083125366261,-16.1748559756068,10.1440247219442
22.8,6.86243361510132,-16.6404594977509,9.7780258826496
23,7.89684140432257,-17.14527730338,9.24843589905745
23.2,8.93622415531764,-17.6037416270084,8.66751747169077
23.4,9.87671723187341,-18.0141023383842,8.13738510651084
23.6,10.8329068461808,-18.3291818609154,7.49627501473456
23.8,11.7299154224586,-18.5005041267314,6.77058870427275
24,12.6175361082436,-18.6730650023156,6.05552889407198
24.2,13.6058369821799,-18.8799020641167,5.27406508193673
24.4,14.4844672541813,-18.9919317295082,4.50746447532691
24.6,15.2332802806446,-18.9767979235957,3.7435176429511
24.8,15.9633337867636,-18.8220776827373,2.85874389597366
25,16.6464780865738,-18.5829521568997,1.93647407032588
25.2,17.4438551360737,-18.4659596575339,1.02210452146016
25.4,18.1773666013292,-18.2720016589852,0.0946350576560206
25.6,18.6668487468361,-17.9115076065167,-0.755341140319324
25.8,19.0473708351923,-17.4081684224418,-1.63920241275047
26,19.4604016400744,-16.8075116040383,-2.65289003603606
26.2,20.0150195731591,-16.402028712407,-3.61299086075206
26.4,20.4497204931349,-15.8942568736588,-4.55546361947619
26.6,20.5762224400677,-15.2246475318955,-5.35157490817218
26.7999999999999,20.7155636248911,-14.4571138728118,-6.25844975207924
26.9999999999999,21.0209081999827,-13.6841990038565,-7.33670919612612
27.1999999999999,21.2598033546354,-13.0726114994123,-8.18719185522309
27.3999999999999,21.154501103625,-12.2371413999898,-8.91735970363513
27.5999999999999,21.0087913387791,-11.4196327005503,-9.58915863822881
27.7999999999999,21.1046340600416,-10.5510726404718,-10.5535614195698
27.9999999999999,21.0850320619683,-9.80179551273712,-11.2832365492312
28.1999999999999,20.7795368037154,-8.9185137970938,-11.8610230066216
28.3999999999999,20.3887063150814,-8.08836675563792,-12.3003395594434
28.5999999999999,20.2579872108799,-7.2214869001906,-13.0365003106893
28.7999999999999,19.9809509117001,-6.42200232416967,-13.5589485875304
28.9999999999999,19.4722449676415,-5.62387610591269,-13.8483688617289
29.1999999999999,18.9331924919478,-4.8386334321256,-14.0945590598222
29.3999999999999,18.6279863291586,-3.97759636866866,-14.6503899604899
29.5999999999999,18.1179499617638,-3.230730817547,-14.8872191442168
29.7999999999999,17.4385309708474,-2.54200602199655,-14.8965249488509
29.9999999999999,16.8791957199416,-1.81791064798109,-15.0612850719605
30.1999999999999,16.4006901297572,-1.00563413635841,-15.3950559933988
30.3999999999999,15.7276268712451,-0.416153273104888,-15.3114735981402
30.5999999999999,15.0299631954755,0.173711115323834,-15.2036743107993
30.7999999999999,14.5539778545481,0.804714237228731,-15.3586920917768
30.9999999999999,13.8602309340719,1.49204521345824,-15.3522761475302
31.1999999999999,13.2104892128817,1.89554282953022,-15.106032042412
31.3999999999999,12.6896971163775,2.35366014092074,-15.0433572572982
31.5999999999999,12.0992633753998,2.95539476619031,-15.0546581415901
31.7999999999999,11.3819152231062,3.37872986905396,-14.7606450921601
31.9999999999999,10.9363047669878,3.64951038302327,-14.5858151500111
32.1999999999999,10.4149921506417,4.07894249796603,-14.4939346486078
32.3999999999999,9.67545896269266,4.58086627612894,-14.2563252388216
32.5999999999999,9.2703040894303,4.70024877701387,-13.9705528664442
32.7999999999999,8.80799339725788,4.99587395646858,-13.8038673537265
32.9999999999999,8.16357345119694,5.41305589047634,-13.5766293416733
33.1999999999999,7.60932444865634,5.62659375790967,-13.235918206566
33.3999999999999,7.31729930206525,5.71401922882215,-13.0313185308874
33.5999999999999,6.70424252960636,6.03096952143976,-12.7352120510461
33.7999999999999,6.08342455791813,6.34491374233476,-12.4283383002529
33.9999999999999,5.76074661212727,6.33777864637961,-12.0985252585069
34.1999999999999,5.34098815938346,6.53101710908672,-11.8720052684702
34.3999999999999,4.68360448481736,6.78052080747389,-11.4641252922912
34.5999999999999,4.21748444602664,6.96318005590713,-11.1806645019338
34.7999999999999,4.00590406772204,6.90362680146264,-10.9095308691847
34.9999999999999,3.39969191119509,7.07657951289286,-10.476271424088
35.1999999999999,2.80290867013905,7.26682940322301,-10.0697380733621
35.3999999999999,2.48299608328865,7.36533449270303,-9.84833057599168
35.5999999999999,2.22488216300389,7.27018781910633,-9.49506998211023
35.7999999999999,1.59057261599499,7.36728276555636,-8.95785538155136
35.9999999999999,1.06016709287644,7.45662856012133,-8.51679565299777
36.1999999999999,0.783850550740562,7.48350985215112,-8.26736040289169
36.3999999999999,0.512488309048367,7.32008161736745,-7.83256992641582
36.5999999999999,-0.0369792437675035,7.30302827343458,-7.26604902966708
36.7999999999999,-0.536937203826936,7.31870493495053,-6.78176773112359
36.9999999999999,-0.779367040810421,7.25688451935151,-6.47751747854109
37.1999999999999,-1.02771645981663,7.0073916792356,-5.97967521941897
37.3999999999999,-1.43543806250592,6.81646184377848,-5.38102378127256
37.5999999999999,-1.89637704050275,6.75262248460208,-4.85624544409932
37.7999999999999,-2.1011207923018,6.59646088620734,-4.49534009390554
37.9999999999999,-2.25655714428009,6.30125682157437,-4.04469967729427
38.1999999999999,-2.51565021000886,5.92435350413225,-3.40870329412339
38.3999999999999,-2.84420764590572,5.70094800656856,-2.85674036066284
38.5999999999999,-3.07044673627937,5.51088651296803,-2.44043977668867
38.7999999999999,-3.09841452093905,5.15608295165288,-2.05766843071383
38.9999999999999,-3.16845654060643,4.6994626057823,-1.53100606517587
39.1999999999999,-3.32947521146283,4.26965238421656,-0.940177172753734
39.3999999999999,-3.47742765430305,3.96529756693215,-0.487869912629094
39.5999999999999,-3.49978826610086,3.63704670003158,-0.137258433930723
39.7999999999999,-3.37878248912759,3.14788558772675,0.230896901400848
39.9999999999999,-3.30337721911873,2.61090095215384,0.692476266964881
40.1999999999999,-3.31330772401767,2.13875039253883,1.17455733147884
40.3999999999999,-3.2738683971245,1.75312730594323,1.52074109118127
40.5999999999999,-3.10946584337142,1.35045273919819,1.75901310417322
40.7999999999999,-2.84462761585828,0.817712610612847,2.02691500524543
40.9999999999999,-2.6059858404983,0.242703162698868,2.36328267779944
41.1999999999999,-2.44650709121327,-0.241438568285225,2.6879456594985
41.3999999999999,-2.26445178818409,-0.640909459990771,2.90536124817486
41.5999999999999,-1.94326416419465,-1.05266023091896,2.99592439511361
41.7999999999999,-1.54540873439969,-1.54785125167163,3.09325998607132
41.9999999999999,-1.17624091984743,-2.09195819747611,3.26819911732354
42.1999999999999,-0.875980167992411,-2.55358825828997,3.42956842628238
42.3999999999999,-0.588104167199311,-2.88683283871506,3.47493700591438
42.5999999999999,-0.185626213143505,-3.2240631395837,3.4096893527272
42.7999999999999,0.31888735571535,-3.6365975367515,3.31771018103615
42.9999999999999,0.775883153747518,-4.07412884755875,3.29824569381123
43.1999999999998,1.1394667117363,-4.45046693304866,3.31100022131236
43.3999999999998,1.4883013144202,-4.67510983599034,3.18680852157014
43.5999999999998,1.91001972102592,-4.86635385583455,2.95633413480863
43.7999999999998,2.4471368334018,-5.15498672216742,2.70784988876561
43.9999999999998,2.95216120759333,-5.46097582102294,2.50881461342962
44.1999999999998,3.29944457078224,-5.67364108415131,2.37419651336907
44.3999999999998,3.62693486335065,-5.76238345780049,2.13544859444984
44.5999999999998,4.04465264288177,-5.78775812777312,1.74310548489135
44.7999999999998,4.54201829863348,-5.91512874939133,1.37311045075784
44.9999999999998,5.00100395783823,-6.07585289099264,1.07484893315441
45.1999999999998,5.26962995056825,-6.10657170269891,0.83694175213066
45.3999999999998,5.53544172165669,-6.0456706136167,0.510228891960012
45.5999999999998,5.91963662951105,-5.92517500558733,0.00553837607627372
45.7999999999998,6.30394080318266,-5.87314940798145,-0.430791395201212
45.9999999999998,6.61927812914135,-5.89153030506117,-0.727747824080188
46.1999999999998,6.755596397865,-5.7559435639558,-0.999652833909207
46.3999999999998,6.92673615342532,-5.53927238854371,-1.38746376488161
46.5999999999998,7.22814253632999,-5.29155472168471,-1.93658781464528
46.7999999999998,7.46894238641821,-5.12922299517005,-2.33971939124816
46.9999999999998,7.58955513653782,-5.02332370516919,-2.56623143136863
47.1999999999998,7.56816984314036,-4.7274261344186,-2.84074370872177
47.3999999999998,7.65474486431853,-4.37889631391601,-3.27584855040253
47.5999999999998,7.85260074594335,-4.07195985438726,-3.78064089155608
47.7999999999998,7.90524544728469,-3.88093742705731,-4.02430802022739
47.9999999999998,7.82489459437299,-3.65109528676234,-4.17379930761065
48.1999999999998,7.70585277310421,-3.21457693132481,-4.4912758417794
48.3999999999998,7.74586362107342,-2.83347053749304,-4.91239308358038
48.5999999999998,7.7911114096314,-2.57030041103806,-5.22081099859333
48.7999999999998,7.6687872343023,-2.38869971907258,-5.28008751522972
48.9999999999998,7.45544838669381,-1.98617179709631,-5.4692765895975
49.1999999999998,7.30808469733131,-1.5282289671752,-5.77985573015611
49.3999999999998,7.31487066623289,-1.25116783629254,-6.06370282994034
49.5999999999998,7.17463267045467,-1.08498739604312,-6.08964527441155
49.7999999999998,6.92300918219056,-0.79069563525687,-6.13231354693369
49.9999999999998,6.64892889329758,-0.291072480493248,-6.35785641280433
50.1999999999998,6.56152596259648,0.00417313864526919,-6.56569910124175
50.3999999999998,6.45560018717385,0.138439076907825,-6.59403926408168
50.5999999999998,6.16087776829103,0.349092362480611,-6.50997013077164
50.7999999999998,5.83532261656764,0.805220358603042,-6.64054297517068
50.9999999999998,5.66478950389635,1.13229881934511,-6.79708832324145
51.1999999999998,5.58204545775965,1.23581724127254,-6.81786269903219
51.3999999999998,5.26399405328487,1.38831046263009,-6.65230451591496
51.5999999999998,4.90414089712776,1.77058811164423,-6.674729008772
51.7999999999998,4.67725847852883,2.11837550987444,-6.79563398840328
51.9999999999998,4.60476283086876,2.1984296896415,-6.80319252051026
