"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0726174525010486,-0.981926304086169,0.909308851585121
0.4,0.189539330804979,-1.93891726101029,1.74937793020531
0.6,0.361244810931564,-2.84399275369931,2.48274794276775
0.8,0.657472727254719,-3.80167628142461,3.14420355416989
1,0.986636693704181,-4.77630974721366,3.78967305350948
1.2,1.27611302655105,-5.71876781550049,4.44265478894945
1.4,1.62682585399381,-6.5379997360964,4.91117388210259
1.6,2.11507508804154,-7.43744088581276,5.32236579777122
1.8,2.72098178483446,-8.41328820795481,5.69230642312035
2,3.16862230125868,-9.28466736453574,6.11604506327707
2.2,3.71059672514654,-10.2282544942353,6.51765776908873
2.4,4.36717823522847,-11.0727456322456,6.70556739701708
2.6,5.100087333781,-11.9420118346877,6.84192450090668
2.8,5.79005766149054,-12.7199808899399,6.92992322844939
3,6.36260220216613,-13.5287130679878,7.16611086582167
3.2,7.18354186382293,-14.3751333768122,7.19159151298929
3.4,8.02129823002141,-15.1634953203402,7.14219709031874
3.6,8.79721793935346,-15.7472172629466,6.94999932359311
3.8,9.47793457082761,-16.3142304511559,6.83629588032828
4,10.4026071654395,-17.1668669641501,6.76425979871061
4.2,11.407173773796,-17.9423693179659,6.53519554416991
4.4,12.1072147286558,-18.3063869018744,6.19917217321867
4.6,12.8073680228643,-18.4989737015575,5.69160567869324
4.8,13.6873304020704,-19.0797149529881,5.39238455091768
5,14.8019232744483,-19.8386183807085,5.03669510626025
5.2,15.5270313140316,-20.0953461507876,4.56831483675601
5.4,16.0303750735491,-19.9570000870542,3.92662501350507
5.6,16.8054805198051,-20.0978628684199,3.29238234861475
5.8,17.8851803417377,-20.6774907131637,2.79231037142599
6,18.6895183942316,-20.8771660960179,2.18764770178626
6.2,19.0144916589208,-20.5275061761564,1.51301451723569
6.4,19.56608505384,-20.2532276219461,0.687142568106076
6.6,20.579738676889,-20.5045371307809,-0.0752015461081115
6.8,21.3892626664013,-20.6723686617021,-0.716894004699167
7,21.653666168499,-20.2040519533025,-1.44961421519651
7.2,21.843865901393,-19.584865358157,-2.25900054323601
7.4,22.6656655035876,-19.5072783752611,-3.15838712832653
7.59999999999999,23.4293344252408,-19.547701614145,-3.88163281109582
7.79999999999999,23.6763317413115,-19.0924020700403,-4.5839296712712
8,23.5546804855766,-18.2084520493216,-5.34622843625502
8.2,23.9703310620146,-17.8285744013499,-6.14175666066471
8.4,24.6665544850632,-17.7069008448381,-6.95965364022508
8.6,24.8651281573067,-17.2547681820292,-7.6103599752775
8.8,24.5262763818676,-16.2713170239638,-8.25495935790379
9,24.4504348182757,-15.576483693684,-8.87395112459166
9.2,24.8811639887874,-15.2978485028498,-9.58331548593763
9.4,25.0359241501259,-14.7798867548502,-10.2560373952757
9.6,24.5735150138017,-13.8582057076485,-10.7153093061532
9.8,24.0177373453151,-12.8285032847593,-11.1892340605558
10,24.1349567026833,-12.4314556992464,-11.7035010034368
10.2,24.1693783863491,-11.8541596812377,-12.3152187051114
10.4,23.6612256874352,-11.0004711940519,-12.6607544933833
10.6,22.8147649632111,-9.89334950463773,-12.9214154585733
10.8,22.5635486746155,-9.28437253327811,-13.2791761413373
11,22.4693538917,-8.78632267020656,-13.6830312214934
11.2,21.9413864027192,-7.94403041251565,-13.9973559902035
11.4,21.0015491144552,-6.93592904017736,-14.0656200742778
11.6,20.3983936789023,-6.13678291636734,-14.2616107625349
11.8,20.1776057288131,-5.71326027360499,-14.4643454552081
12,19.7031443476358,-5.01163092822817,-14.6915134194077
12.2,18.7693276358362,-4.11241541929207,-14.6569122165441
12.4,17.9702031771739,-3.31617780251192,-14.654025374662
12.6,17.5762203113929,-2.83573436699143,-14.7404859444014
12.8,17.1849070158097,-2.4106511941461,-14.7742558216636
13,16.3401962581236,-1.67268726144105,-14.6675089966826
13.2,15.4491061770399,-0.979386450299897,-14.46971972674
13.4,14.9870483529639,-0.525607074279948,-14.461441278684
13.6,14.5716179784301,-0.228861828264406,-14.3427561501656
13.8,13.8628891503882,0.243775276681865,-14.1066644270701
14,12.9126813886923,0.84237742117958,-13.7550588098719
14.2,12.377837635975,1.22474048352887,-13.6025781195039
14.4,11.9591095531581,1.45609228825282,-13.415201841411
14.6,11.3138509756823,1.7058734909036,-13.0197244665859
14.8,10.4759901932739,2.13939507668895,-12.6153852699628
15,9.83169632428449,2.46924105190607,-12.3009373761906
15.2,9.46414389873288,2.62566665959392,-12.0898105583268
15.4,8.86475457355279,2.75487916351003,-11.6196337370628
15.6,8.18342712702405,2.96038756086821,-11.1438146878923
15.8,7.54226103344407,3.24675554111494,-10.789016574559
16,7.15823265995334,3.32203932942216,-10.4802719893755
16.2,6.69986503145528,3.35384019116603,-10.0537052226213
16.4,6.0680246330357,3.41425248345675,-9.48227711649245
16.6,5.54248637342716,3.54507582448505,-9.08756219791221
16.8,5.15845525535465,3.56900926331303,-8.72746451866767
17,4.86485011154003,3.45450888521603,-8.31935899675607
17.2,4.32886154298186,3.40718070207584,-7.73604224505769
17.4,3.87745190280554,3.40152935003744,-7.27898125284298
17.6,3.56179355938046,3.3605610129096,-6.92235457229006
17.8,3.33150974865446,3.14515789744749,-6.47666764610195
18,3.01060863065624,2.98528141162075,-5.99589004227699
18.2,2.61549381873795,2.89277831758444,-5.50827213632239
18.4,2.38772918202394,2.7536202762594,-5.14134945828334
18.6,2.23068812417895,2.5114005757932,-4.74208869997215
18.8,2.03918588732924,2.22540205563849,-4.26458794296773
19,1.7614816395233,2.04208515062599,-3.80356679014929
19.2,1.59796863090416,1.83645064885451,-3.43441927975867
19.4,1.53987907947318,1.57797999570511,-3.11785907517829
19.6,1.45745637106659,1.24089589469886,-2.69835226576545
19.8,1.32105520427671,0.983284003794264,-2.30433920807098
20,1.23556987343204,0.750101932846268,-1.98567180627831
20.2,1.2640429736265,0.440868149295188,-1.70491112292169
20.4,1.26665765074624,0.0825142485631037,-1.34917189930935
20.6,1.23878168897541,-0.233850521055534,-1.00493116791988
20.8,1.23899005050295,-0.492629720133527,-0.746360330369426
21,1.3515960784248,-0.822511331490281,-0.529084746934515
21.2,1.45636717312898,-1.19700304574323,-0.259364127385753
21.4,1.50909356794035,-1.53956876297694,0.0304751950365936
21.6,1.58368304111293,-1.7909378711743,0.207254830061371
21.8,1.7688405688658,-2.10719396308382,0.338353394218012
22,1.97715394755034,-2.48784042670562,0.510686479155276
22.2,2.08747176928121,-2.83132466375014,0.743852894468927
22.4,2.21565738532914,-3.06798357354777,0.852326188218627
22.6,2.43682744644935,-3.31834865790712,0.881521211457762
22.8,2.74072502749687,-3.6870094361973,0.946284408700432
23,2.92891304905283,-4.02297413869536,1.09406108964253
23.2,3.07663739681265,-4.2552718562081,1.17863445939545
23.4,3.31619367023398,-4.41221104114275,1.09601737090877
23.6,3.67610609890755,-4.72113634490484,1.04503024599729
23.8,3.97028568117536,-5.05240764317303,1.08212196199767
24,4.10521749734819,-5.25486101551837,1.14964351817017
24.2,4.34164484010712,-5.34626073283753,1.0046158927304
24.4,4.70601981682439,-5.52083712796905,0.81481731114466
24.6,5.07645777797201,-5.83111499722437,0.75465721925236
24.8,5.25954553835705,-6.01814422706532,0.758598688708267
25,5.46518925562877,-6.09264060885523,0.627451353226458
25.2,5.80952915787636,-6.12441414294616,0.314884985069801
25.4,6.16308737014318,-6.31152698351877,0.148439613375588
25.6,6.40485089314815,-6.49807760362525,0.0932267104771078
25.8,6.53390446384039,-6.5174278991869,-0.0164765646534883
26,6.82975441646619,-6.46093459795787,-0.368819818508324
26.2,7.16387933576577,-6.47120832343068,-0.692671012335088
26.4,7.44322832914516,-6.63615193292163,-0.80707639622353
26.6,7.54127168403654,-6.62980840316178,-0.911463280874766
26.7999999999999,7.71382239114213,-6.51121279314777,-1.20260959799435
26.9999999999999,8.0578864701727,-6.3970625284492,-1.66082394172351
27.1999999999999,8.2847261049647,-6.403478520894,-1.8812475840707
27.3999999999999,8.39400470248717,-6.43557196036526,-1.95843274212191
27.5999999999999,8.4491131124151,-6.25518162523421,-2.19393148718089
27.7999999999999,8.68103915438332,-6.04271831385419,-2.63832084052912
27.9999999999999,8.94133104116935,-5.91598267687476,-3.02534836429458
28.1999999999999,9.05156639087878,-5.93192883045829,-3.11963756042049
28.3999999999999,9.0287909063447,-5.74736438660257,-3.28142651974213
28.5999999999999,9.08658049717044,-5.44244735387085,-3.64413314329959
28.7999999999999,9.29011994266985,-5.19462583039492,-4.09549411227493
28.9999999999999,9.38120375726595,-5.10088529734145,-4.2803184599245
29.1999999999999,9.38214079693941,-5.02254425550616,-4.35959654143324
29.3999999999999,9.29573916759557,-4.65465761471546,-4.64108155288011
29.5999999999999,9.31594577746369,-4.2938882245383,-5.02205755292539
29.7999999999999,9.41232127362553,-4.08558622219007,-5.32673505143545
29.9999999999999,9.3968946837762,-4.02808093397603,-5.36881374980017
30.1999999999999,9.26076045293648,-3.72517336804837,-5.53558708488812
30.3999999999999,9.08181383065826,-3.24833851039002,-5.83347532026824
30.5999999999999,9.08733837732951,-2.94949573532714,-6.13784264200237
30.7999999999999,9.07911358017761,-2.8346563960717,-6.2444571841059
30.9999999999999,8.92830447201692,-2.66781733139405,-6.26048714062288
31.1999999999999,8.64782853334237,-2.18125036918355,-6.46657816415881
31.3999999999999,8.47544503646282,-1.77205397773254,-6.70339105873028
31.5999999999999,8.47157561773846,-1.5995043560363,-6.87207126170216
31.7999999999999,8.28597727434432,-1.48619024541873,-6.7997870289256
31.9999999999999,8.01410860533043,-1.13327759561308,-6.88083100971735
32.1999999999999,7.69667356543426,-0.639739741850469,-7.05693382358379
32.3999999999999,7.60096387008476,-0.404666577724731,-7.19629729236003
32.5999999999999,7.48188263315215,-0.303581982008477,-7.17830065114367
32.7999999999999,7.14110326869641,-0.101004393980918,-7.04009887471549
32.9999999999999,6.79001197495428,0.341825761384271,-7.13183773633855
33.1999999999999,6.55335015322798,0.672411591302035,-7.22576174453001
33.3999999999999,6.45431777079811,0.761254109078088,-7.2155718798762
33.5999999999999,6.13901388107991,0.876947174799972,-7.01596105587988
