"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.2,-0.0208972928809923
0.4,0.0857271733203835
0.6,0.125460273315243
0.8,-0.124932347196363
1,-0.23318781000867
1.2,0.123823498681715
1.4,0.842611538513116
1.6,-0.57869784025299
1.8,-0.856243084775358
2,-1.09175729404847
2.2,0.726409795363801
2.4,0.768106061092676
2.6,-1.7615785849339
2.8,-0.654882157936564
3,-0.477105750737184
3.2,0.835870102136878
3.4,-2.57779174697739
3.6,-1.83980685860342
3.8,-1.31803235055136
4,-3.15326301265325
4.2,-0.518161978921146
4.4,-2.90719240416577
4.6,-2.02868455898646
4.8,-4.89773957529485
5,-3.60298966806321
5.2,-1.88399018793178
5.4,-4.21163292755437
5.6,-4.64412062086835
5.8,-9.26892391718431
6,-2.96553379862196
6.2,-4.73199110038329
6.4,-8.72059745744086
6.6,-11.6331720603706
6.8,-8.43247017345859
7,-3.21171118631656
7.2,-12.1279683313933
7.4,-12.5318264357423
7.59999999999999,-12.0584805926552
7.79999999999999,-7.11689952392757
8,-10.7730480887696
8.2,-18.1923488596336
8.4,-15.8523276948523
8.6,-12.7094049262897
8.8,-10.6039745667281
9,-21.5966103887853
9.2,-18.9823988353106
9.4,-14.7463296877876
9.6,-14.8771412406743
9.8,-19.9220038171715
10,-23.4430273505906
10.2,-18.2726332132788
10.4,-17.3994532171216
10.6,-21.0423970725441
10.8,-25.2409873760987
11,-22.8194560305413
11.2,-18.3095920489631
11.4,-23.1408476049919
11.6,-25.0222717231402
11.8,-24.1372211833815
12,-19.6994875025657
12.2,-22.0955025611629
12.4,-26.2952161641851
12.6,-22.9807291717107
12.8,-23.2553329279184
13,-21.5582078908104
13.2,-26.3558524845304
13.4,-24.7292001845997
13.6,-21.4539248951571
13.8,-21.581365513918
14,-24.1269456906519
14.2,-25.698560887888
14.4,-19.01354973134
14.6,-20.9788600877162
14.8,-22.5739038991853
15,-23.1854125640431
15.2,-19.7257964027144
15.4,-17.8004410049072
15.6,-20.6884585270478
15.8,-20.5187865024793
16,-18.9928626898787
16.2,-14.7072279651934
16.4,-16.313215853652
16.6,-18.224692541407
16.8,-15.8661302011876
17,-13.5017150336516
17.2,-13.0483232988938
17.4,-14.6813054216145
17.6,-13.1749231910851
17.8,-11.0904420279974
18,-9.69420288103695
18.2,-10.2440963688372
18.4,-10.4301107226217
18.6,-7.76413401228168
18.8,-6.502878608001
19,-6.76218969957286
19.2,-7.07247180540865
19.4,-5.25000651932317
19.6,-3.59575567457029
19.8,-3.14958171871373
20,-3.19350539841642
20.2,-2.29424674934482
20.4,-0.592721994121578
20.6,0.267148196350181
20.8,0.209502665182872
21,0.415992881511827
21.2,1.81849135127309
21.4,3.07901398573519
21.6,3.1394438181367
21.8,2.92419240377439
22,4.10036262126424
22.2,5.43668318281532
22.4,5.81322093003503
22.6,5.30027659514788
22.8,5.52802856201496
23,6.87324392616227
23.2,7.79329484189265
23.4,7.17178274915997
23.6,6.22341276052665
23.8,7.8874416033689
24,9.12347460668575
24.2,8.60134538376717
24.4,7.19259479544954
24.6,7.62779094951377
24.8,9.35690674054533
25,9.0555360756395
25.2,7.86123295977764
25.4,6.46075772589375
25.6,8.78193735609807
25.8,9.43079806088249
26,7.5791783896027
26.2,5.98611438638397
26.4,6.71973537580619
26.6,8.85166514479457
26.7999999999999,6.51498095557033
26.9999999999999,4.97355969534157
27.1999999999999,4.30072481847654
27.3999999999999,6.64051070545817
27.5999999999999,6.38898068671239
27.7999999999999,3.12468262244974
27.9999999999999,2.3650840297482
28.1999999999999,3.44778181899755
28.3999999999999,5.39957454149462
28.5999999999999,1.80266695030391
28.7999999999999,-0.251829880002173
28.9999999999999,0.848823220161586
29.1999999999999,2.24238638985986
29.3999999999999,1.0140378801287
29.5999999999999,-2.57063677141831
29.7999999999999,-2.42678703255864
29.9999999999999,-1.14236179501471
30.1999999999999,-0.0994178566982553
30.3999999999999,-3.33759686269651
30.5999999999999,-5.766508939601
30.7999999999999,-3.11344751312268
30.9999999999999,-2.7822964197172
31.1999999999999,-4.71810665934099
31.3999999999999,-7.3397507676256
31.5999999999999,-6.61342098223086
31.7999999999999,-5.13460370126843
31.9999999999999,-5.83650166186259
32.1999999999999,-8.19301741371182
32.3999999999999,-9.68936231454491
32.5999999999999,-6.55815824144099
32.7999999999999,-7.01129516173377
32.9999999999999,-9.37881518585612
33.1999999999999,-10.2023412425294
33.3999999999999,-9.06153934775057
33.5999999999999,-7.60579248257216
33.7999999999999,-9.58563066791588
33.9999999999999,-10.8241729642134
34.1999999999999,-10.6682565852676
34.3999999999999,-8.34365305828722
34.5999999999999,-8.90688468977839
34.7999999999999,-10.9467602472046
34.9999999999999,-10.6261120104259
35.1999999999999,-9.122608987106
35.3999999999999,-8.1910154334555
35.5999999999999,-10.1442756749907
35.7999999999999,-10.481707624532
35.9999999999999,-9.19550321222197
36.1999999999999,-7.89076521598448
36.3999999999999,-8.43505342226767
36.5999999999999,-9.61419783027466
36.7999999999999,-8.74882172742709
36.9999999999999,-7.25470551065896
37.1999999999999,-6.96389477265861
37.3999999999999,-8.33037199514963
37.5999999999999,-7.91411575100756
37.7999999999999,-6.27282530926087
37.9999999999999,-5.61096962533045
