"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,0.0736214982138873,-0.982452681587237,0.90883118337335
0.4,0.192159377597885,-1.94024815786207,1.74808878026418
0.6,0.366420746311656,-2.84657895414843,2.48015820783678
0.8,0.666980819710012,-3.80632967442947,3.13934885471946
1,1.00067586864408,-4.78303604582306,3.78236017717899
1.2,1.29439685307234,-5.72786435559583,4.43346750252348
1.4,1.6508717789286,-6.54977118937303,4.89889941044443
1.6,2.1472030275517,-7.45382730301857,5.30662427546687
1.8,2.76224066396384,-8.43509650756108,5.67285584359724
2,3.21618231648255,-9.30971961646389,6.09353729998135
2.2,3.76834495820475,-10.2599870443903,6.49164208618554
2.4,4.43710995532214,-11.1113181476673,6.67420819234511
2.6,5.18199493060344,-11.9862805777741,6.80428564717062
2.8,5.88354274916653,-12.7712951816768,6.88775243251025
3,6.46753356880881,-13.5873760841144,7.11984251530557
3.2,7.31211266542499,-14.4502798686471,7.13816720322211
3.4,8.16635679262177,-15.2488771161744,7.08252032355262
3.6,8.95362309199148,-15.8384102374582,6.88478714546672
3.8,9.65265527196991,-16.4163887936889,6.76373352171902
4,10.6084166661768,-17.2920686496096,6.68365198343282
4.2,11.6349154496371,-18.0841633660226,6.4492479163855
4.4,12.3467614195505,-18.4558051634696,6.10904374391916
4.6,13.0658770429231,-18.6573427269756,5.5914656840525
4.8,13.9814619727471,-19.2630611049719,5.28159913222479
5,15.1322842724964,-20.0474630487216,4.91517877622518
5.2,15.8718878810205,-20.3155313988778,4.44364351785729
5.4,16.3877561921137,-20.1829594225348,3.7952032304211
5.6,17.1993797579364,-20.3454088620471,3.14602910411061
5.8,18.3286028705801,-20.9558365787172,2.62723370813712
6,19.1517592326219,-21.1720493494492,2.02029011682725
6.2,19.4890146267628,-20.8298177267445,1.34080309998171
6.4,20.069699346173,-20.5664821682886,0.496782822115552
6.6,21.1491108631135,-20.8558510049161,-0.293259858197359
6.8,21.9925026274265,-21.0473678680635,-0.945134759362933
7,22.2690851510126,-20.5886311665105,-1.68045398450209
7.2,22.4750820007395,-19.9722117625788,-2.50287023816073
7.4,23.3578705927965,-19.9252079656912,-3.43266262710533
7.59999999999999,24.1693519733749,-19.9937943751092,-4.17555759826564
7.79999999999999,24.4327793705403,-19.5543885332914,-4.87839083724886
8,24.3240929211222,-18.6738824723395,-5.65021044878272
8.2,24.785005703238,-18.312988624664,-6.47201707857397
8.4,25.534243020388,-18.2218001300207,-7.31244289036737
8.6,25.7566613004984,-17.7877614560841,-7.96889984441421
8.8,25.4194966365009,-16.8029060344059,-8.61659060209499
9,25.3617350405713,-16.1096255809589,-9.25210945961241
9.2,25.8331990577479,-15.8575466487459,-9.97565240900198
9.4,26.0116877099753,-15.3587867199452,-10.6529009900301
9.6,25.5416333895193,-14.4314364705999,-11.1101969189194
9.8,24.9725122072363,-13.386888595297,-11.5856236119393
10,25.105989881749,-12.9939824452552,-12.1120074364937
10.2,25.1613238636601,-12.4367791896435,-12.7245446740166
10.4,24.6452119300441,-11.5843813293373,-13.0608306007069
10.6,23.7639931861924,-10.4492441409308,-13.3147490452616
10.8,23.5048362809667,-9.82950170591985,-13.6753345750469
11,23.4205925220922,-9.34430395868221,-14.07628856341
11.2,22.8912949543893,-8.50276963862478,-14.3885253157645
11.4,21.9049081976959,-7.46859373526395,-14.4363144624319
11.6,21.2744110518848,-6.65240843190555,-14.6220026199792
11.8,21.0549474254224,-6.23586515399453,-14.8190822714279
12,20.5773530524154,-5.53671987456847,-15.0406331778469
12.2,19.6125895738418,-4.62438031481763,-14.9882092590241
12.4,18.763837427722,-3.79794286759391,-14.9658945601281
12.6,18.3666688288189,-3.31248741628171,-15.0541814125372
12.8,17.9811373750663,-2.90167163376597,-15.0794657413004
13,17.1247881292934,-2.16565783589351,-14.9591302933999
13.2,16.1844478921358,-1.44498900354014,-14.7394588885957
13.4,15.6907655547299,-0.96996189495662,-14.7208036597732
13.6,15.3051712848805,-0.694788372190851,-14.6103829126896
13.8,14.5937311552908,-0.229071866118144,-14.3646592891727
14,13.6155266347997,0.379442827053176,-13.9949694618529
14.2,13.0464661780649,0.781564919525763,-13.8280310975906
14.4,12.6410390954544,1.00389211609693,-13.6449312115513
14.6,12.0091798304419,1.23881612375132,-13.2479959541932
14.8,11.1500455818979,1.67516070578053,-12.8252062876785
15,10.4686937045862,2.02171227388599,-12.4904059784722
15.2,10.1113304107428,2.17924763281819,-12.290578043561
15.4,9.52663425458907,2.29408021976756,-11.8207144743566
